pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
30-0,1-0,0-0,,228130,,,8,,2,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-162.1100175,510.5664808,Down the Line,Backhand,,,,,,,,,,-35.9207021,-303.8532426,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,1.0,,,,,,Short
30-0,1-0,0-0,,229729,1.0,229729.0,8,,3,Ad,Roger Pascual Ferra,Near,,,,,,,,,,-19.4942804,-470.3155238,Crosscourt,Backhand,,,,,,,,,,73.72273075,-17.21281168,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,1.0,,,Emon van Loben Sels,1,,,
30-15,1-0,0-0,1.0,258670,,,9,,1,Ad,Roger Pascual Ferra,Near,0.0,Wide,198.4281441,-66.12523513,1.0,T,3.37946741,244.5595527,,-47.97893701,-464.3016021,,,1.0,,,,,,,,,,,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,2nd Serve In,T,
30-15,1-0,0-0,,272179,,,9,,2,Ad,Roger Pascual Ferra,Near,,,,,,,,,,78.10129046,513.7446905,Crosscourt,Forehand,,,,,,,,,,-20.03868657,-306.6475776,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,1.0,,,,,,,Short
30-15,1-0,0-0,,273470,,,9,,3,Ad,Roger Pascual Ferra,Near,,,,,,,,,,-22.44233377,-415.8944663,Down the Line,Backhand,,,,,,,,,,-79.06800087,315.2303478,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,1.0,,,,,,Short
30-15,1-0,0-0,,274700,,,9,,4,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-81.50946522,504.1667323,Crosscourt,Forehand,,,,,,,,,,87.74642388,-301.7174541,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
30-15,1-0,0-0,,276170,,,9,,5,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,105.0898349,-497.3781715,Down the Line,Backhand,,,,,,,,,,135.7792924,401.6073163,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Deep
30-15,1-0,0-0,,277799,1.0,277799.0,9,,6,Ad,Roger Pascual Ferra,Near,,,,,,,,,,118.3543526,540.8424759,Down the Line,Backhand,,,,,,,,,,28.14043635,1.37845035,,,,1.0,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,Roger Pascual Ferra,1,,,
40-15,1-0,0-0,1.0,302299,,,10,,1,Deuce,Roger Pascual Ferra,Near,0.0,Wide,-167.23604,263.2897583,1.0,Wide,-125.3520943,243.9690617,,30.9613353,-414.5574311,,,1.0,,,,,,,,,,,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,2nd Serve In,Wide,
40-15,1-0,0-0,,316970,,,10,,2,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-168.5139381,499.5068788,Down the Line,Forehand,,,,,,,,,,-55.79893373,-257.9403543,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
40-15,1-0,0-0,,318600,,,10,,3,Ad,Roger Pascual Ferra,Near,,,,,,,,,,-33.56750328,-484.3118493,Crosscourt,Backhand,,,,,,,,,,39.58850612,244.9052275,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,1.0,,,,,,,Short
40-15,1-0,0-0,,319880,,,10,,4,Ad,Roger Pascual Ferra,Near,,,,,,,,,,66.69934383,497.3090825,Crosscourt,Backhand,,,,,,,,,,-95.99488736,-267.2332294,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
40-15,1-0,0-0,,320929,,,10,,5,Ad,Roger Pascual Ferra,Near,,,,,,,,,,-131.1273622,-501.087582,Crosscourt,Forehand,,,,,,,,,,13.40541339,239.2701662,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Short
40-15,1-0,0-0,,322200,,,10,,6,Ad,Roger Pascual Ferra,Near,,,,,,,,,,61.73764217,530.7918034,Crosscourt,Backhand,,,,,,,,,,-87.07168635,-344.0914917,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
40-15,1-0,0-0,,323529,,,10,,7,Ad,Roger Pascual Ferra,Near,,,,,,,,,,-108.8686406,-511.2646052,Down the Line,Forehand,,,,,,,,,,-129.2988189,244.8555829,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Short
40-15,1-0,0-0,,325170,,,10,,8,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,-170.4901903,581.6159066,Crosscourt,Forehand,,,,,,,,,,65.79854549,-294.0470801,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,,1.0,,2,False,,Emon van Loben Sels,Emon van Loben Sels,,,,,,,,Short
40-15,1-0,0-0,,327070,,,10,,9,Deuce,Roger Pascual Ferra,Near,,,,,,,,,,66.67653106,-412.5155731,Down the Line,Backhand,,,,,,,,,,109.2026411,373.7107776,,,,,,UCLA,10/6/25,,LWH Solano Challenger,,,,TCU,Emon van Loben Sels,Roger Pascual Ferra,Right,Left,,Hard,,1.0,,,2,False,,Emon van Loben Sels,Roger Pascual Ferra,,,,,,,,Deep
