pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
86,Rudy Quan,Edward Winter,30-0,0-4,0-1,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,3990706.0,4003999.0,13293.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,-43.43881234,242.9375875,,,Down the Line,Backhand,,,Down the Line,Forehand,Edward Winter,Winner,Edward Winter,,False,,,2,0,1,0,4,30,0,,,5,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,2.0,1.0,1.0,2.0,"Set 2: 0-4, 30-0 Edward Winter Serving"
87,Rudy Quan,Edward Winter,30-15,0-4,0-1,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,4028999.0,4044999.0,16000.0,5,5-8,0,1,2nd Serve In,Body,Body,Body,False,Near,,,95.28179681,-29.39598097,60.42273075,244.751203,Crosscourt,Forehand,Net,,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,,False,,,2,0,1,0,4,30,15,,,5,,,Crosscourt,Forehand,,,,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Error,1.0,0.0,0.0,2.0,"Set 2: 0-4, 30-15 Edward Winter Serving"
88,Rudy Quan,Edward Winter,30-30,0-4,0-1,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,4086811.0,4094999.0,8188.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-141.823797,244.5998578,,,Down the Line,Forehand,Long,,Down the Line,Backhand,Rudy Quan,Error,Edward Winter,,False,,,2,0,1,0,4,30,30,,,5,,,Down the Line,Forehand,Down the Line,Backhand,Error,1st Serve In,Deuce: Wide,,,,,,1.0,0.0,0.0,1.0,"Set 2: 0-4, 30-30 Edward Winter Serving"
89,Rudy Quan,Edward Winter,40-30,0-4,0-1,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,4126053.0,4134999.0,8946.0,4,1-4,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,,,288.2363298,242.4573327,111.6868602,200.6943788,Crosscourt,Backhand,Net,,Down the Line,Backhand,Rudy Quan,Error,Edward Winter,,False,,,2,0,1,0,4,40,30,,,5,,,Crosscourt,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Wide,,,,,,1.0,0.0,0.0,1.0,"Set 2: 0-4, 40-30 Edward Winter Serving"
90,Rudy Quan,Edward Winter,0-0,0-5,0-1,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,4214363.0,4219999.0,5636.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Near,,,-59.18176947,221.4686625,,,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Edward Winter,Error,Rudy Quan,,False,,,2,0,1,0,5,0,0,,,6,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-5, 0-0 Rudy Quan Serving"
91,Rudy Quan,Edward Winter,15-0,0-5,0-1,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,4240234.0,4247999.0,7765.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,123.7169619,185.952313,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,False,,,2,0,1,0,5,15,0,,,6,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,0.0,"Set 2: 0-5, 15-0 Rudy Quan Serving"
92,Rudy Quan,Edward Winter,15-15,0-5,0-1,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,4268055.0,4273999.0,5944.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-125.2997703,244.7867618,,,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,,False,,,2,0,1,0,5,15,15,,,6,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 2: 0-5, 15-15 Rudy Quan Serving"
93,Rudy Quan,Edward Winter,30-15,0-5,0-1,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,4288645.0,4308999.0,20354.0,3,1-4,0,1,2nd Serve In,Wide,Wide,Wide,False,Near,,,163.5909722,236.1076498,106.6993602,225.0431485,Crosscourt,Forehand,Wide Right,,Crosscourt,Backhand,Rudy Quan,Error,Edward Winter,,False,,,2,0,1,0,5,30,15,,,6,2nd Serve In,Ad: Wide,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,0.0,0.0,1.0,0.0,"Set 2: 0-5, 30-15 Rudy Quan Serving"
94,Rudy Quan,Edward Winter,30-30,0-5,0-1,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,4331203.0,4355999.0,24796.0,8,5-8,0,1,2nd Serve In,T,T,T,False,Near,,,-1.350393701,-5.925349956,-30.31526684,203.4478729,Down the Line,Forehand,Net,,Down the Line,Backhand,Edward Winter,Error,Rudy Quan,,False,,,2,0,1,0,5,30,30,,,6,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Forehand,Down the Line,Backhand,Error,1.0,2.0,2.0,1.0,"Set 2: 0-5, 30-30 Rudy Quan Serving"
95,Rudy Quan,Edward Winter,40-30,0-5,0-1,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,4380369.0,4400999.0,20630.0,5,5-8,0,1,2nd Serve In,T,Wide,T,False,Near,,,156.3762413,247.7129976,50.86995844,243.7078631,Crosscourt,Forehand,Net,,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,False,,,2,0,1,0,5,40,30,,,6,2nd Serve In,Ad: T,,,Down the Line,Forehand,Error,,,Crosscourt,Forehand,,,,0.0,1.0,2.0,0.0,"Set 2: 0-5, 40-30 Rudy Quan Serving"
