pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
27,Rudy Quan,Edward Winter,30-0,2-Feb,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,1184917,1210000,25083,2,4-Jan,0,1,2nd Serve In,Body,Body,Body,FALSE,Far,,,100.4952428,-260.392115,91.23612752,-205.3271325,Down the Line,Forehand,Net,Net,Down the Line,Forehand,Rudy Quan,Error,Edward Winter,,FALSE,,,1,0,0,2,2,30,0,,,5,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,0,0,0,0,"Set 1: 2-2, 30-0 Edward Winter Serving"
28,Rudy Quan,Edward Winter,40-0,2-Feb,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,1237564,1252100,14536,7,8-May,0,1,2nd Serve In,Wide,Wide,Wide,FALSE,Far,,,-125.2902012,-274.9783957,-115.1318952,-206.0029418,Crosscourt,Backhand,Net,,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,,FALSE,,,1,0,0,2,2,40,0,,,5,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Forehand,Error,0,1,2,1,"Set 1: 2-2, 40-0 Edward Winter Serving"
29,Rudy Quan,Edward Winter,0-0,3-Feb,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,1346373,1364000,17627,8,8-May,0,1,2nd Serve In,T,T,T,FALSE,Far,,,-31.24733705,319.1098972,49.12007327,-217.0049377,Down the Line,Backhand,Net,,Down the Line,Backhand,Edward Winter,Winner,Edward Winter,,FALSE,,,1,0,0,2,3,0,0,,,6,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Winner,1,1,3,2,"Set 1: 2-3, 0-0 Rudy Quan Serving"
30,Rudy Quan,Edward Winter,0-15,3-Feb,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,1384620,1386308,1688,2,4-Jan,1,0,1st Serve In,T,T,,FALSE,Far,,,0.09951881,-170.8070811,,,Crosscourt,Forehand,Wide Left,Wide Left,Crosscourt,Forehand,Edward Winter,Error,Rudy Quan,,FALSE,,,1,0,0,2,3,0,15,,,6,1st Serve In,Ad: T,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,0,0,0,0,"Set 1: 2-3, 0-15 Rudy Quan Serving"
31,Rudy Quan,Edward Winter,15-15,3-Feb,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,1423481,1432999,9518,6,8-May,0,1,2nd Serve In,T,Wide,T,FALSE,Far,,,175.1691437,-249.3074803,44.43377078,-143.9573655,Down the Line,Backhand,Net,,Down the Line,,Edward Winter,Error,Rudy Quan,,FALSE,,Edward Winter,1,0,0,2,3,15,15,,,6,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,,Error,1,0,1,2,"Set 1: 2-3, 15-15 Rudy Quan Serving"
32,Rudy Quan,Edward Winter,30-15,3-Feb,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,1473478,1510000,36522,8,8-May,0,1,2nd Serve In,T,Body,T,FALSE,Far,,,-55.62534996,244.6159339,-19.35059055,-161.8773349,Down the Line,Forehand,Net,,Crosscourt,Backhand,Edward Winter,Error,Rudy Quan,,FALSE,Rudy Quan,,1,0,0,2,3,30,15,,,6,2nd Serve In,Ad: T,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,1,1,2,2,"Set 1: 2-3, 30-15 Rudy Quan Serving"
33,Rudy Quan,Edward Winter,40-15,3-Feb,0-0,,Deuce,Rudy Quan,Edward Winter,UCLA,Pepperdine,1541424,1553000,11576,5,8-May,1,0,1st Serve In,Body,Body,,FALSE,Far,,,60.04976487,-172.0406551,,,Down the Line,Backhand,Net,,Crosscourt,Forehand,Rudy Quan,Error,Edward Winter,,FALSE,,,1,0,0,2,3,40,15,,,6,1st Serve In,Deuce: Body,,,Crosscourt,Forehand,Error,,,Down the Line,Backhand,,,,1,0,1,1,"Set 1: 2-3, 40-15 Rudy Quan Serving"
34,Rudy Quan,Edward Winter,40-30,3-Feb,0-0,,Ad,Rudy Quan,Edward Winter,UCLA,Pepperdine,1592058,1605000,12942,7,8-May,0,1,2nd Serve In,Body,Wide,Body,FALSE,Far,,,-126.7194827,-273.1098535,-86.32782152,-158.2904856,Crosscourt,Forehand,,,Down the Line,Forehand,Rudy Quan,Winner,Rudy Quan,,FALSE,,,1,0,0,2,3,40,30,,,6,2nd Serve In,Ad: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,2,1,1,2,"Set 1: 2-3, 40-30 Rudy Quan Serving"
35,Rudy Quan,Edward Winter,0-0,3-Mar,0-0,,Deuce,Edward Winter,Rudy Quan,UCLA,Pepperdine,1636000,1646999,10999,3,4-Jan,0,0,Double Fault,,Wide,,FALSE,Near,,,-169.0100776,235.4511702,,,Down the Line,Forehand,Long,,Down the Line,Forehand,Edward Winter,Error,Rudy Quan,,FALSE,,,1,0,0,3,3,0,0,,,7,,,Down the Line,Forehand,,,,Double Fault,,,,Down the Line,Forehand,,0,1,0,0,"Set 1: 3-3, 0-0 Edward Winter Serving"
36,Rudy Quan,Edward Winter,0-15,3-Mar,0-0,,Ad,Edward Winter,Rudy Quan,UCLA,Pepperdine,1673170,1673956,786,2,4-Jan,1,0,1st Serve In,T,T,,FALSE,Near,,,30,210,,,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Rudy Quan,Error,Edward Winter,,FALSE,,,1,0,0,3,3,0,15,,,7,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: T,,,,,,0,0,0,0,"Set 1: 3-3, 0-15 Edward Winter Serving"
