Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 2: 4-0, 0-15 Gustaf Strom Serving",72,2,5,Spencer Johnson,Gustaf Strom,0-15,4-0,1-0,,Ad,Gustaf Strom,Spencer Johnson,3743579.0,3763214.0,19635.0,Spencer Johnson,7,5 - 8,0,1,2nd Serve In,T,Wide,T,False,Near,231.0,154.0,39.0,164.0,Down the Line,Backhand,Wide Left,,Down the Line,Forehand,Gustaf Strom,Error,False,,,,1,0,4,0,0,15,,,,,Down the Line,Backhand,,,,2nd Serve In,Ad: T,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 2: 4-0, 15-15 Gustaf Strom Serving",73,2,5,Spencer Johnson,Gustaf Strom,15-15,4-0,1-0,,Deuce,Gustaf Strom,Spencer Johnson,3790006.0,3796630.0,6624.0,Spencer Johnson,3,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,-110.0,130.0,,,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Gustaf Strom,Error,False,,,,1,0,4,0,15,15,,,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 2: 4-0, 30-15 Gustaf Strom Serving",74,2,5,Spencer Johnson,Gustaf Strom,30-15,4-0,1-0,,Ad,Gustaf Strom,Spencer Johnson,3827850.0,3837060.0,9210.0,Gustaf Strom,2,1 - 4,1,0,1st Serve In,Body,Body,,False,Near,60.0,223.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Spencer Johnson,Error,False,,,,1,0,4,0,30,15,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,UCLA,U of Arizona
"Set 2: 4-0, 30-30 Gustaf Strom Serving",75,2,5,Spencer Johnson,Gustaf Strom,30-30,4-0,1-0,,Deuce,Gustaf Strom,Spencer Johnson,3851389.0,3869233.0,17844.0,Spencer Johnson,3,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,-99.0,287.0,-142.0,226.0,Crosscourt,Backhand,Long,,Down the Line,Forehand,Gustaf Strom,Error,False,,,,1,0,4,0,30,30,,,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: Wide,,,Down the Line,Forehand,Error,UCLA,U of Arizona
"Set 2: 4-0, 40-30 Gustaf Strom Serving",76,2,5,Spencer Johnson,Gustaf Strom,40-30,4-0,1-0,,Ad,Gustaf Strom,Spencer Johnson,3895109.0,3901352.0,6243.0,Gustaf Strom,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Near,114.0,239.0,,,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Spencer Johnson,Error,False,,,,1,0,4,0,40,30,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Ad: Wide,,,,,,UCLA,U of Arizona
"Set 2: 4-0, 40-40 Gustaf Strom Serving",77,2,5,Spencer Johnson,Gustaf Strom,40-40,4-0,1-0,,Ad,Gustaf Strom,Spencer Johnson,3919015.0,3958430.0,39415.0,Spencer Johnson,13,13 +,1,0,1st Serve In,T,T,,False,Near,42.0,228.0,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Gustaf Strom,Error,True,,,,1,0,4,0,40,40,,,,,Crosscourt,Backhand,,,,1st Serve In,Ad: T,,,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 2: 5-0, 0-0 Spencer Johnson Serving",78,2,6,Spencer Johnson,Gustaf Strom,0-0,5-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,4027267.0,4040441.0,13174.0,Spencer Johnson,7,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Near,-110.0,218.0,,,Crosscourt,Forehand,,,Down the Line,Backhand,Spencer Johnson,Winner,False,,,,1,0,5,0,0,0,,,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Winner,,,Crosscourt,Forehand,,,,UCLA,U of Arizona
"Set 2: 5-0, 15-0 Spencer Johnson Serving",79,2,6,Spencer Johnson,Gustaf Strom,15-0,5-0,1-0,,Ad,Spencer Johnson,Gustaf Strom,4060825.0,4082079.0,21254.0,Spencer Johnson,4,1 - 4,0,1,2nd Serve In,Wide,T,Wide,False,Near,31.0,2.0,119.0,191.0,Crosscourt,Backhand,Wide Right,,Crosscourt,Forehand,Gustaf Strom,Error,False,,,,1,0,5,0,15,0,,,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,UCLA,U of Arizona
"Set 2: 5-0, 30-0 Spencer Johnson Serving",80,2,6,Spencer Johnson,Gustaf Strom,30-0,5-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,4097727.0,4112459.0,14732.0,Spencer Johnson,2,1 - 4,1,0,1st Serve In,T,T,,False,Near,-46.0,218.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Gustaf Strom,Error,False,,,,1,0,5,0,30,0,,,1st Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,U of Arizona
"Set 2: 5-0, 40-0 Spencer Johnson Serving",81,2,6,Spencer Johnson,Gustaf Strom,40-0,5-0,1-0,,Ad,Spencer Johnson,Gustaf Strom,4130271.0,4149386.0,19115.0,Gustaf Strom,3,1 - 4,0,1,2nd Serve In,Wide,Body,Wide,False,Near,60.0,263.0,114.0,223.0,Down the Line,Backhand,Net,,Down the Line,Backhand,Spencer Johnson,Error,False,,,,1,0,5,0,40,0,,,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Error,,,Down the Line,Backhand,,,,UCLA,U of Arizona
"Set 2: 5-0, 40-15 Spencer Johnson Serving",82,2,6,Spencer Johnson,Gustaf Strom,40-15,5-0,1-0,,Deuce,Spencer Johnson,Gustaf Strom,4166805.0,4173551.0,6746.0,Spencer Johnson,3,1 - 4,1,0,1st Serve In,,T,,False,Near,-38.0,218.0,,,Down the Line,Backhand,,,Crosscourt,Forehand,Spencer Johnson,Winner,False,,,,1,0,5,0,40,15,,,1st Serve In,,,,Crosscourt,Forehand,Winner,,,Down the Line,Backhand,,,,UCLA,U of Arizona
