pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
132,Emon Van Loben Sels,Derrick Chen,0-0,1-4,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7335445.0,7336789.0,1344.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-117.0,128.0,,,Down the Line,Forehand,,,Crosscourt,Forehand,Derrick Chen,Winner,Derrick Chen,,False,,,3,1,1,1,4,0,0,,,6,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,1.0,0.0,0.0,1.0,"Set 3: 1-4, 0-0 Derrick Chen Serving"
133,Emon Van Loben Sels,Derrick Chen,15-0,1-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7355856.0,,,10,9-12,1,0,1st Serve In,Body,Body,,False,Near,,,67.0,184.0,,,Crosscourt,Backhand,,,Down the Line,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,,,3,1,1,1,4,15,0,,,6,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,1st Serve In,Ad: Body,,,,,,3.0,0.0,1.0,5.0,"Set 3: 1-4, 15-0 Derrick Chen Serving"
134,Emon Van Loben Sels,Derrick Chen,15-15,1-4,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7397422.0,7401993.0,4571.0,1,1-4,1,0,1st Serve In,T,T,,True,Near,,,-13.0,216.0,,,,,,,,,Derrick Chen,,Derrick Chen,,False,,,3,1,1,1,4,15,15,,,6,Ace,,,,,,,1st Serve In,Deuce: T,,,,,,0.0,0.0,0.0,0.0,"Set 3: 1-4, 15-15 Derrick Chen Serving"
135,Emon Van Loben Sels,Derrick Chen,30-15,1-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7425722.0,7431647.0,5925.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,134.0,189.0,,,Crosscourt,Backhand,Long,,Down the Line,Backhand,Derrick Chen,Error,Emon Van Loben Sels,,False,,Derrick Chen,3,1,1,1,4,30,15,,,6,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Wide,,,Down the Line,Backhand,Error,0.0,0.0,0.0,1.0,"Set 3: 1-4, 30-15 Derrick Chen Serving"
136,Emon Van Loben Sels,Derrick Chen,30-30,1-4,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7456641.0,7480662.0,24021.0,2,1-4,0,1,2nd Serve In,Body,Body,Body,False,Near,,,-74.0,354.0,-82.0,168.0,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Emon Van Loben Sels,Error,Derrick Chen,,False,,,3,1,1,1,4,30,30,,,6,,,Down the Line,Forehand,Down the Line,Forehand,Error,2nd Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 3: 1-4, 30-30 Derrick Chen Serving"
137,Emon Van Loben Sels,Derrick Chen,40-30,1-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7498351.0,7519491.0,21140.0,13,13+,1,0,1st Serve In,T,T,,False,Near,,,3.0,99.0,,,Down the Line,Forehand,Wide Right,,Down the Line,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,Emon Van Loben Sels,,3,1,1,1,4,40,30,,,6,,,Down the Line,Forehand,,,,1st Serve In,Ad: T,,,Down the Line,Forehand,Error,1.0,0.0,4.0,6.0,"Set 3: 1-4, 40-30 Derrick Chen Serving"
138,Emon Van Loben Sels,Derrick Chen,40-40,1-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7544307.0,7553367.0,9060.0,3,1-4,1,0,1st Serve In,Body,Body,,False,Near,,,78.0,128.0,,,Crosscourt,Backhand,Long,,Down the Line,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,True,,,3,1,1,1,4,40,40,,,6,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Body,,,Down the Line,Forehand,Error,0.0,0.0,0.0,1.0,"Set 3: 1-4, 40-40 Derrick Chen Serving"
139,Emon Van Loben Sels,Derrick Chen,0-0,2-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7586373.0,7595398.0,9025.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,113.0,-220.0,,,Down the Line,Forehand,,,Down the Line,Forehand,Derrick Chen,Winner,Derrick Chen,,False,,,3,1,1,2,4,0,0,,,7,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Winner,1.0,0.0,1.0,1.0,"Set 3: 2-4, 0-0 Emon Van Loben Sels Serving"
140,Emon Van Loben Sels,Derrick Chen,0-15,2-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7618142.0,7622946.0,4804.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-130.0,-193.0,,,Crosscourt,Backhand,,,Down the Line,Forehand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,,,3,1,1,2,4,0,15,,,7,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 3: 2-4, 0-15 Emon Van Loben Sels Serving"
141,Emon Van Loben Sels,Derrick Chen,15-15,2-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7648845.0,7664873.0,16028.0,1,1-4,0,0,Double Fault,T,T,T,False,Far,,,17.0,-273.0,17.0,12.0,,,,,,,Emon Van Loben Sels,,Derrick Chen,,False,,,3,1,1,2,4,15,15,,,7,Double Fault,Deuce: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 3: 2-4, 15-15 Emon Van Loben Sels Serving"
142,Emon Van Loben Sels,Derrick Chen,15-30,2-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7688717.0,7697336.0,8619.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-119.0,-126.0,,,Down the Line,Backhand,,,Crosscourt,Backhand,Emon Van Loben Sels,Winner,Emon Van Loben Sels,,False,Emon Van Loben Sels,,3,1,1,2,4,15,30,,,7,1st Serve In,Ad: Wide,,,Crosscourt,Backhand,Winner,,,Down the Line,Backhand,,,,0.0,0.0,2.0,2.0,"Set 3: 2-4, 15-30 Emon Van Loben Sels Serving"
143,Emon Van Loben Sels,Derrick Chen,30-30,2-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7722071.0,7738371.0,16300.0,6,5-8,1,0,1st Serve In,T,T,,False,Far,,,17.0,-225.0,,,Crosscourt,Backhand,Long,,Down the Line,Backhand,Derrick Chen,Error,Emon Van Loben Sels,,False,,,3,1,1,2,4,30,30,,,7,1st Serve In,Deuce: T,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,2.0,1.0,0.0,1.0,"Set 3: 2-4, 30-30 Emon Van Loben Sels Serving"
144,Emon Van Loben Sels,Derrick Chen,40-30,2-4,1-1,,Ad,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,7753314.0,7780461.0,27147.0,6,5-8,0,1,2nd Serve In,Wide,Body,Wide,False,Far,,,-66.0,15.0,-114.0,-214.0,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,,Derrick Chen,3,1,1,2,4,40,30,,,7,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Error,2.0,1.0,0.0,1.0,"Set 3: 2-4, 40-30 Emon Van Loben Sels Serving"
145,Emon Van Loben Sels,Derrick Chen,0-0,3-4,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7883904.0,7895103.0,11199.0,9,9-12,1,0,1st Serve In,T,T,,False,Far,,,30.0,-171.0,,,Down the Line,Backhand,Wide Left,,Down the Line,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,Emon Van Loben Sels,Derrick Chen,3,1,1,3,4,0,0,,,8,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,1.0,1.0,2.0,3.0,"Set 3: 3-4, 0-0 Derrick Chen Serving"
146,Emon Van Loben Sels,Derrick Chen,15-0,3-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,7924978.0,7947229.0,22251.0,15,13+,1,0,1st Serve In,Body,Body,,False,Far,,,-63.0,-92.0,,,Crosscourt,Backhand,Wide Left,,Crosscourt,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,,,3,1,1,3,4,15,0,,,8,,,Crosscourt,Backhand,,,,1st Serve In,Ad: Body,,,Crosscourt,Forehand,Error,2.0,2.0,4.0,5.0,"Set 3: 3-4, 15-0 Derrick Chen Serving"
147,Emon Van Loben Sels,Derrick Chen,30-0,3-4,1-1,,Deuce,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,8010691.0,8013743.0,3052.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,51.0,-155.0,,,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Emon Van Loben Sels,Error,Derrick Chen,,False,,,3,1,1,3,4,30,0,,,8,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 3: 3-4, 30-0 Derrick Chen Serving"
148,Emon Van Loben Sels,Derrick Chen,30-15,3-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,8032699.0,8056422.0,23723.0,5,5-8,0,1,2nd Serve In,T,T,T,False,Far,,,86.0,69.0,-34.0,-101.0,Down the Line,Forehand,Wide Right,,Crosscourt,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,,,3,1,1,3,4,30,15,,,8,,,Down the Line,Forehand,,,,2nd Serve In,Ad: T,,,Crosscourt,Forehand,Error,0.0,1.0,1.0,1.0,"Set 3: 3-4, 30-15 Derrick Chen Serving"
149,Emon Van Loben Sels,Derrick Chen,40-30,3-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,8094513.0,8102014.0,7501.0,7,5-8,1,0,1st Serve In,T,T,,False,Near,,,22.0,160.0,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Derrick Chen,Winner,Derrick Chen,,False,,Derrick Chen,3,1,1,3,4,40,30,,,8,,,Crosscourt,Backhand,,,,1st Serve In,Ad: T,,,Crosscourt,Forehand,Winner,1.0,1.0,2.0,2.0,"Set 3: 3-4, 40-30 Derrick Chen Serving"
150,Emon Van Loben Sels,Derrick Chen,40-40,3-4,1-1,,Ad,Derrick Chen,Emon Van Loben Sels,UCLA,University of California-Berkeley,8132168.0,8145914.0,13746.0,10,9-12,1,0,1st Serve In,Body,Body,,False,Near,,,78.0,218.0,,,Crosscourt,Backhand,Long,,Crosscourt,Backhand,Emon Van Loben Sels,Error,Derrick Chen,,True,,,3,1,1,3,4,40,40,,,8,,,Crosscourt,Backhand,Crosscourt,Backhand,Error,1st Serve In,Ad: Body,,,,,,2.0,1.0,2.0,3.0,"Set 3: 3-4, 40-40 Derrick Chen Serving"
151,Emon Van Loben Sels,Derrick Chen,0-0,4-4,1-1,,Deuce,Emon Van Loben Sels,Derrick Chen,UCLA,University of California-Berkeley,8171368.0,8192186.0,20818.0,2,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,,,-50.0,-149.0,-101.0,128.0,Down the Line,Forehand,Wide Right,Wide Right,Down the Line,Forehand,Derrick Chen,Error,Emon Van Loben Sels,,False,,,3,1,1,4,4,0,0,,,9,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,0.0,0.0,0.0,"Set 3: 4-4, 0-0 Emon Van Loben Sels Serving"
