pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
34,Alexander Hoogmartens,Aleksa Pisaric,40-30,3-2,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1361770.0,1377349.0,15579.0,5,5-8,0,1,2nd Serve In,Body,Wide,Body,False,Near,,,192.532611548457,314.596298118823,55.6605643044332,217.20554461931,Crosscourt,Backhand,Net,,Down the Line,Backhand,Aleksa Pisaric,Error,Alexander Hoogmartens,,False,,,1,0,0,3,2,40,30,,,6,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Body,,,Down the Line,Backhand,Error,0.0,1.0,1.0,1.0,"Set 1: 3-2, 40-30 Aleksa Pisaric Serving"
35,Alexander Hoogmartens,Aleksa Pisaric,40-40,3-2,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1410339.0,1427650.0,17311.0,7,5-8,0,1,2nd Serve In,T,Body,T,False,Near,,,-55.4811625109075,393.615381670838,-28.9984033245695,165.103313648209,Crosscourt,Forehand,,,Down the Line,Forehand,Aleksa Pisaric,Winner,Aleksa Pisaric,,True,,,1,0,0,3,2,40,40,,,6,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: T,,,Down the Line,Forehand,Winner,0.0,1.0,2.0,2.0,"Set 1: 3-2, 40-40 Aleksa Pisaric Serving"
36,Alexander Hoogmartens,Aleksa Pisaric,0-0,4-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1444699.0,1462839.0,18140.0,7,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,,,175.780648512595,-266.752974628034,47.5417814960384,-128.037685914195,Down the Line,Forehand,,,Crosscourt,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,,False,,,1,0,0,4,2,0,0,,,7,2nd Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Down the Line,Forehand,,,,2.0,1.0,1.0,2.0,"Set 1: 4-2, 0-0 Alexander Hoogmartens Serving"
37,Alexander Hoogmartens,Aleksa Pisaric,15-0,4-2,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1486469.0,1497349.0,10880.0,9,9-12,1,0,1st Serve In,Wide,Wide,,False,Far,,,-121.17169181971,-167.803718285128,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Alexander Hoogmartens,Error,Aleksa Pisaric,,False,,,1,0,0,4,2,15,0,,,7,1st Serve In,Ad: Wide,,,Down the Line,Forehand,Error,,,Crosscourt,Backhand,,,,1.0,1.0,3.0,2.0,"Set 1: 4-2, 15-0 Alexander Hoogmartens Serving"
38,Alexander Hoogmartens,Aleksa Pisaric,15-15,4-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1527430.0,1532750.0,5320.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,137.166699474995,-177.261220472349,,,Down the Line,Forehand,Net,,Down the Line,Backhand,Alexander Hoogmartens,Error,Aleksa Pisaric,,False,Alexander Hoogmartens,,1,0,0,4,2,15,15,,,7,1st Serve In,Deuce: Wide,,,Down the Line,Backhand,Error,,,Down the Line,Forehand,,,,1.0,0.0,1.0,1.0,"Set 1: 4-2, 15-15 Alexander Hoogmartens Serving"
39,Alexander Hoogmartens,Aleksa Pisaric,15-30,4-2,0-0,,Ad,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1565869.0,1581349.0,15480.0,4,1-4,0,1,2nd Serve In,Body,Body,Body,False,Far,,,-66.8662674977782,244.95728346444,-66.0826716972537,-222.570833333218,Crosscourt,Backhand,Net,,Down the Line,Backhand,Aleksa Pisaric,Error,Alexander Hoogmartens,,False,,,1,0,0,4,2,15,30,,,7,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,0.0,0.0,1.0,0.0,"Set 1: 4-2, 15-30 Alexander Hoogmartens Serving"
40,Alexander Hoogmartens,Aleksa Pisaric,15-40,4-2,0-0,,Deuce,Alexander Hoogmartens,Aleksa Pisaric,"Univeristy of California, Los Angeles",Pepperdine,1618229.0,1630449.0,12220.0,10,9-12,1,0,1st Serve In,Body,Body,,False,Far,,,89.8992071303123,-189.509344925536,,,Down the Line,Forehand,Long,,Down the Line,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,,True,Alexander Hoogmartens,Aleksa Pisaric,1,0,0,4,2,15,40,,,7,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,0.0,1.0,3.0,3.0,"Set 1: 4-2, 15-40 Alexander Hoogmartens Serving"
41,Alexander Hoogmartens,Aleksa Pisaric,0-0,4-3,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1735430.0,1737729.0,2299.0,3,1-4,1,0,1st Serve In,T,T,,False,Far,,,52.0412565616529,-161.118618766321,,,Crosscourt,Backhand,Net,,Crosscourt,Forehand,Aleksa Pisaric,Error,Alexander Hoogmartens,,False,,,1,0,0,4,3,0,0,,,8,,,Crosscourt,Backhand,,,,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Error,0.0,1.0,0.0,0.0,"Set 1: 4-3, 0-0 Aleksa Pisaric Serving"
42,Alexander Hoogmartens,Aleksa Pisaric,0-15,4-3,0-0,,Ad,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1755660.0,1765530.0,9870.0,8,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-111.792082239662,-189.809968285116,,,Crosscourt,Backhand,,,Down the Line,Forehand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,,False,,,1,0,0,4,3,0,15,,,8,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,1st Serve In,Ad: Wide,,,,,,0.0,1.0,2.0,3.0,"Set 1: 4-3, 0-15 Aleksa Pisaric Serving"
43,Alexander Hoogmartens,Aleksa Pisaric,0-30,4-3,0-0,,Deuce,Aleksa Pisaric,Alexander Hoogmartens,"Univeristy of California, Los Angeles",Pepperdine,1789359.0,1793660.0,4301.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,153.91334208216,-174.252766841555,,,Crosscourt,Forehand,,,Down the Line,Backhand,Alexander Hoogmartens,Winner,Alexander Hoogmartens,,False,,,1,0,0,4,3,0,30,,,8,,,Crosscourt,Forehand,Down the Line,Backhand,Winner,1st Serve In,Deuce: Wide,,,,,,1.0,1.0,0.0,1.0,"Set 1: 4-3, 0-30 Aleksa Pisaric Serving"
