Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,isExcitingPoint,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 3-0, 0-0 Jo-Yee Chan Serving",64,1,4,Elise Wagle,Jo-Yee Chan,0-0,3-0,0-0,,Deuce,Jo-Yee Chan,Elise Wagle,3250201.0,,,Jo-Yee Chan,1,1 - 4,0,1,2nd Serve In,Body,Wide,Body,True,Near,-144.0,251.0,-72.0,231.0,,,,,,,Jo-Yee Chan,,False,,,,0,0,3,0,0,0,,,Ace,,,,,,,2nd Serve In,Deuce: Body,,,,,,UCLA,Oregon
"Set 2: 3-0, 15-0 Jo-Yee Chan Serving",65,2,4,Elise Wagle,Jo-Yee Chan,15-0,3-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3279320.0,,,Jo-Yee Chan,8,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,88.0,227.0,,,Crosscourt,Backhand,Wide Left,,Down the Line,Backhand,Elise Wagle,Error,False,,,,1,0,3,0,15,0,,,,,Crosscourt,Backhand,Down the Line,Backhand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 3-0, 15-15 Jo-Yee Chan Serving",66,2,4,Elise Wagle,Jo-Yee Chan,15-15,3-0,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,3315085.0,,,Jo-Yee Chan,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,-67.0,211.0,,,Down the Line,Forehand,,,Crosscourt,Backhand,Jo-Yee Chan,Winner,False,,,,1,0,3,0,15,15,,,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Body,,,Crosscourt,Backhand,Winner,UCLA,Oregon
"Set 2: 3-0, 15-30 Jo-Yee Chan Serving",67,2,4,Elise Wagle,Jo-Yee Chan,15-30,3-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3358528.0,,,Jo-Yee Chan,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,80.0,185.0,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Elise Wagle,Error,False,,,,1,0,3,0,15,30,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 3-0, 15-40 Jo-Yee Chan Serving",68,2,4,Elise Wagle,Jo-Yee Chan,15-40,3-0,1-0,,Deuce,Jo-Yee Chan,Elise Wagle,3383379.0,,,Elise Wagle,3,1 - 4,1,0,1st Serve In,T,T,,False,Near,-21.0,169.0,,,Down the Line,Backhand,Net,,Down the Line,Forehand,Jo-Yee Chan,Error,True,,,,1,0,3,0,15,40,,,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Error,UCLA,Oregon
"Set 2: 3-0, 30-40 Jo-Yee Chan Serving",69,2,4,Elise Wagle,Jo-Yee Chan,30-40,3-0,1-0,,Ad,Jo-Yee Chan,Elise Wagle,3411473.0,,,Jo-Yee Chan,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Near,77.0,227.0,,,Crosscourt,Backhand,Net,,Down the Line,Forehand,Elise Wagle,Error,True,,,,1,0,3,0,30,40,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Body,,,,,,UCLA,Oregon
"Set 2: 3-1, 0-0 Elise Wagle Serving",70,2,5,Elise Wagle,Jo-Yee Chan,0-0,3-1,1-0,,Deuce,Elise Wagle,Jo-Yee Chan,3472363.0,,,Elise Wagle,11,9 - 12,1,0,1st Serve In,Wide,Wide,,False,Far,136.0,-204.0,,,Crosscourt,Forehand,,,Down the Line,Forehand,Elise Wagle,Winner,False,Elise Wagle,,,1,0,3,1,0,0,,,1st Serve In,Deuce: Wide,,,Down the Line,Forehand,Winner,,,Crosscourt,Forehand,,,,UCLA,Oregon
"Set 2: 3-1, 15-0 Elise Wagle Serving",71,2,5,Elise Wagle,Jo-Yee Chan,15-0,3-1,1-0,,Ad,Elise Wagle,Jo-Yee Chan,3516928.0,,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Body,Body,,False,Far,-61.0,-207.0,,,Crosscourt,Forehand,Net,,Down the Line,Backhand,Jo-Yee Chan,Error,False,,,,1,0,3,1,15,0,,,1st Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Backhand,Error,UCLA,Oregon
"Set 2: 3-1, 30-0 Elise Wagle Serving",72,2,5,Elise Wagle,Jo-Yee Chan,30-0,3-1,1-0,,Deuce,Elise Wagle,Jo-Yee Chan,3549808.0,,,Elise Wagle,2,1 - 4,0,1,2nd Serve In,T,T,T,False,Far,21.0,1.0,27.0,-163.0,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Jo-Yee Chan,Error,False,,,,1,0,3,1,30,0,,,2nd Serve In,Deuce: T,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,UCLA,Oregon
"Set 2: 3-1, 40-0 Elise Wagle Serving",73,2,5,Elise Wagle,Jo-Yee Chan,40-0,3-1,1-0,,Ad,Elise Wagle,Jo-Yee Chan,3611147.0,,,Elise Wagle,2,1 - 4,0,1,2nd Serve In,Wide,Wide,Wide,False,Far,-168.0,-220.0,-112.0,-150.0,Crosscourt,Forehand,Wide Right,Wide Right,Crosscourt,Forehand,Jo-Yee Chan,Error,False,,,,1,0,3,1,40,0,,,2nd Serve In,Ad: Wide,,,,,,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,UCLA,Oregon
