pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
11,Emon van Loben Sels,Roger Pascual Ferra,0-0,1-1,0-0,,Deuce,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,370869.0,370869.0,0.0,1,1-4,1,0,1st Serve In,Wide,Wide,,True,Far,,,130.6099792,-153.7260171,,,,,,,,,Emon van Loben Sels,,Emon van Loben Sels,0.0,False,,,1,0,0,1,1,0,0,,,3,Ace,Deuce: Wide,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-1, 0-0 Emon van Loben Sels Serving"
12,Emon van Loben Sels,Roger Pascual Ferra,0-15,1-1,0-0,,Ad,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,390869.0,390869.0,0.0,1,1-4,1,0,1st Serve In,T,T,,True,Far,,,-32.50066164,-238.2866634,,,,,,,,,Emon van Loben Sels,,Emon van Loben Sels,0.0,False,,,1,0,0,1,1,0,15,,,3,Ace,Ad: T,,,,,,,,,,,,,0.0,0.0,0.0,0.0,"Set 1: 1-1, 0-15 Emon van Loben Sels Serving"
13,Emon van Loben Sels,Roger Pascual Ferra,0-30,1-1,0-0,,Deuce,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,416670.0,418679.0,2009.0,3,1-4,0,1,2nd Serve In,Body,,Body,False,Far,,,,,94.46715879,-225.2503007,Crosscourt,Backhand,,,Crosscourt,,Emon van Loben Sels,Winner,Emon van Loben Sels,0.0,False,Emon van Loben Sels,,1,0,0,1,1,0,30,,,3,2nd Serve In,Deuce: Body,,,Crosscourt,,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 1-1, 0-30 Emon van Loben Sels Serving"
14,Emon van Loben Sels,Roger Pascual Ferra,0-40,1-1,0-0,,Ad,Emon van Loben Sels,Roger Pascual Ferra,UCLA,TCU,434100.0,449130.0,15030.0,3,1-4,1,0,1st Serve In,Wide,Wide,T,False,Far,,,-153.9745844,-178.2997758,-32.50066164,-267.2866634,Crosscourt,Backhand,,,Down the Line,Backhand,Emon van Loben Sels,Winner,Emon van Loben Sels,0.0,True,,,1,0,0,1,1,0,40,,,3,1st Serve In,Ad: Wide,,,Down the Line,Backhand,Winner,,,Crosscourt,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 1-1, 0-40 Emon van Loben Sels Serving"
15,Emon van Loben Sels,Roger Pascual Ferra,0-0,1-2,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,544530.0,573599.0,29069.0,13,13+,0,1,2nd Serve In,Body,Wide,Body,False,Far,,,164.5873852,-204.8782644,64.9962325,-223.8865103,Crosscourt,Backhand,Long,,Crosscourt,Backhand,Roger Pascual Ferra,Error,Emon van Loben Sels,0.0,False,,,1,0,0,1,2,0,0,,,4,,,Crosscourt,Backhand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Backhand,Error,3.0,1.0,3.0,4.0,"Set 1: 1-2, 0-0 Roger Pascual Ferra Serving"
16,Emon van Loben Sels,Roger Pascual Ferra,0-15,1-2,0-0,,Ad,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,608880.0,630979.0,22099.0,7,5-8,0,1,2nd Serve In,Wide,T,Wide,False,Far,,,-5.514720035,-309.056086,-106.9595636,-131.1639162,Crosscourt,Backhand,Net,,Down the Line,Backhand,Roger Pascual Ferra,Error,Emon van Loben Sels,0.0,False,,,1,0,0,1,2,0,15,,,4,,,Crosscourt,Backhand,,,,2nd Serve In,Ad: Wide,,,Down the Line,Backhand,Error,0.0,1.0,3.0,1.0,"Set 1: 1-2, 0-15 Roger Pascual Ferra Serving"
17,Emon van Loben Sels,Roger Pascual Ferra,0-30,1-2,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,658219.0,661780.0,3561.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,117.1704998,-209.7118548,,,Crosscourt,Forehand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,,,1,0,0,1,2,0,30,,,4,,,Crosscourt,Forehand,Down the Line,Backhand,Error,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,1.0,1.0,"Set 1: 1-2, 0-30 Roger Pascual Ferra Serving"
18,Emon van Loben Sels,Roger Pascual Ferra,15-30,1-2,0-0,,Ad,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,689049.0,712929.0,23880.0,10,9-12,0,0,Double Fault,T,Wide,T,False,Far,,,-116.5499234,-247.3182141,-5.846768373,-285.792301,Down the Line,Backhand,Net,,Down the Line,Backhand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,False,,,1,0,0,1,2,15,30,,,4,,,Down the Line,Backhand,Down the Line,Backhand,Error,Double Fault,Ad: T,,,,,,3.0,1.0,1.0,3.0,"Set 1: 1-2, 15-30 Roger Pascual Ferra Serving"
19,Emon van Loben Sels,Roger Pascual Ferra,30-30,1-2,0-0,,Deuce,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,756179.0,762219.0,6040.0,5,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,113.2155074,-195.8356791,,,Down the Line,Forehand,,,Crosscourt,Forehand,Roger Pascual Ferra,Winner,Roger Pascual Ferra,0.0,False,,,1,0,0,1,2,30,30,,,4,,,Down the Line,Forehand,,,,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,1.0,0.0,1.0,2.0,"Set 1: 1-2, 30-30 Roger Pascual Ferra Serving"
20,Emon van Loben Sels,Roger Pascual Ferra,30-40,1-2,0-0,,Ad,Roger Pascual Ferra,Emon van Loben Sels,UCLA,TCU,789219.0,798700.0,9481.0,8,5-8,0,0,Double Fault,,Wide,,False,Far,,,-154.9573327,-254.8511756,,,Crosscourt,Backhand,Long,,Down the Line,Forehand,Emon van Loben Sels,Error,Roger Pascual Ferra,0.0,True,,,1,0,0,1,2,30,40,,,4,,,Crosscourt,Backhand,Down the Line,Forehand,Error,Double Fault,,,,,,,1.0,1.0,2.0,2.0,"Set 1: 1-2, 30-40 Roger Pascual Ferra Serving"
