pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
54,Giacomo Revelli,Henry Von Der Schulenberg,15-30,1-0,0-1,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2462919.0,2466860.0,3941.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-133.9099464,-149.5619204,,,Down the Line,Backhand,Net,,Crosscourt,,Giacomo Revelli,Error,Henry Von Der Schulenberg,,False,Giacomo Revelli,,2,0,1,1,0,15,30,,,2,,,Down the Line,Backhand,Crosscourt,,Error,1st Serve In,Ad: Wide,,,,,,1.0,0.0,0.0,1.0,"Set 2: 1-0, 15-30 Henry Von Der Schulenberg Serving"
55,Giacomo Revelli,Henry Von Der Schulenberg,15-40,1-0,0-1,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2494860.0,2495939.0,1079.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,150.4224902,-176.8601597,,,Crosscourt,Forehand,Long,Long,Crosscourt,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,True,,,2,0,1,1,0,15,40,,,2,,,Crosscourt,Forehand,Crosscourt,Forehand,Error,1st Serve In,Deuce: Wide,,,,,,0.0,0.0,0.0,0.0,"Set 2: 1-0, 15-40 Henry Von Der Schulenberg Serving"
56,Giacomo Revelli,Henry Von Der Schulenberg,30-40,1-0,0-1,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2514860.0,2517909.0,3049.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-143.7571796,-194.4470472,,,Down the Line,Backhand,Wide Right,,Down the Line,Forehand,Giacomo Revelli,Error,Henry Von Der Schulenberg,,True,,Henry Von Der Schulenberg,2,0,1,1,0,30,40,,,2,,,Down the Line,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Wide,,,,,,0.0,0.0,1.0,1.0,"Set 2: 1-0, 30-40 Henry Von Der Schulenberg Serving"
57,Giacomo Revelli,Henry Von Der Schulenberg,40-40,1-0,0-1,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2551120.0,2560159.0,9039.0,9,9-12,1,0,1st Serve In,T,T,,False,Far,,,42.77869641,-149.7102034,,,Down the Line,Backhand,Net,,Down the Line,Backhand,Henry Von Der Schulenberg,Error,Giacomo Revelli,,True,Giacomo Revelli,Henry Von Der Schulenberg,2,0,1,1,0,40,40,,,2,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,0.0,0.0,2.0,2.0,"Set 2: 1-0, 40-40 Henry Von Der Schulenberg Serving"
58,Giacomo Revelli,Henry Von Der Schulenberg,0-0,1-1,0-1,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2590469.0,2593110.0,2641.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,-38.83457458,243.0510389,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,,False,,,2,0,1,1,1,0,0,,,3,1st Serve In,Deuce: T,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,1.0,0.0,0.0,1.0,"Set 2: 1-1, 0-0 Giacomo Revelli Serving"
59,Giacomo Revelli,Henry Von Der Schulenberg,15-0,1-1,0-1,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2622610.0,2633659.0,11049.0,9,9-12,1,0,1st Serve In,Wide,Wide,,False,Near,,,127.3442695,243.477745,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,,False,Giacomo Revelli,,2,0,1,1,1,15,0,,,3,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Winner,,,Crosscourt,Backhand,,,,3.0,1.0,1.0,3.0,"Set 2: 1-1, 15-0 Giacomo Revelli Serving"
60,Giacomo Revelli,Henry Von Der Schulenberg,30-0,1-1,0-1,,Deuce,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2663909.0,2666610.0,2701.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Near,,,-139.156157,244.5998578,,,Down the Line,Forehand,,,Crosscourt,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,,False,,,2,0,1,1,1,30,0,,,3,1st Serve In,Deuce: Wide,,,Crosscourt,Forehand,Winner,,,Down the Line,Forehand,,,,0.0,0.0,1.0,1.0,"Set 2: 1-1, 30-0 Giacomo Revelli Serving"
61,Giacomo Revelli,Henry Von Der Schulenberg,40-0,1-1,0-1,,Ad,Giacomo Revelli,Henry Von Der Schulenberg,UCLA,Harvard,2688340.0,2701189.0,12849.0,4,1-4,0,1,2nd Serve In,Body,T,Body,False,Near,,,15.97713255,354.6962927,77.42264873,176.7619423,Crosscourt,Forehand,,,Down the Line,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,,False,,,2,0,1,1,1,40,0,,,3,2nd Serve In,Ad: Body,,,,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1.0,2.0,0.0,0.0,"Set 2: 1-1, 40-0 Giacomo Revelli Serving"
62,Giacomo Revelli,Henry Von Der Schulenberg,0-0,2-1,0-1,,Deuce,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2794439.0,2796639.0,2200.0,3,1-4,1,0,1st Serve In,T,T,,False,Near,,,-6.531266404,234.2102854,,,Down the Line,Backhand,,,Down the Line,Forehand,Henry Von Der Schulenberg,Winner,Henry Von Der Schulenberg,,False,,,2,0,1,2,1,0,0,,,4,,,Down the Line,Backhand,,,,1st Serve In,Deuce: T,,,Down the Line,Forehand,Winner,0.0,0.0,1.0,1.0,"Set 2: 2-1, 0-0 Henry Von Der Schulenberg Serving"
63,Giacomo Revelli,Henry Von Der Schulenberg,15-0,2-1,0-1,,Ad,Henry Von Der Schulenberg,Giacomo Revelli,UCLA,Harvard,2818139.0,2822320.0,4181.0,4,1-4,1,0,1st Serve In,T,T,,False,Near,,,51.25846457,235.1806321,,,Crosscourt,Forehand,,,Down the Line,Forehand,Giacomo Revelli,Winner,Giacomo Revelli,,False,,,2,0,1,2,1,15,0,,,4,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,1st Serve In,Ad: T,,,,,,1.0,0.0,1.0,1.0,"Set 2: 2-1, 15-0 Henry Von Der Schulenberg Serving"
